article id,title,no. of authors,year published,type,journal/book title,abstract,keywords
1,"Transparency and Trustworthiness in User Intentions to Follow Career
 Recommendations from a Learning Analytics Tool",4,2023,Article,Journal of Learning Analytics,"['Transparency', 'and', 'trustworthiness', 'are', 'among', 'the', 'key', 'requirements', 'for', 'the', 'ethical', 'use', 'of', 'learning', 'analytics', 'LA', 'and', 'artificial', 'intelligence', 'AI', 'in', 'the', 'context', 'of', 'social', 'inclusion', 'and', 'equity.', 'However', 'research', 'on', 'these', 'issues', 'pertaining', 'to', 'users', 'is', 'lacking', 'leaving', 'it', 'unclear', 'as', 'to', 'how', 'transparent', 'and', 'trustworthy', 'current', 'LA', 'tools', 'are', 'for', 'their', 'users', 'and', 'how', 'perceptions', 'of', 'these', 'variables', 'relate', 'to', 'user', 'behaviour.', 'In', 'this', 'study', 'we', 'investigate', 'user', 'experiences', 'of', 'an', 'LA', 'tool', 'in', 'the', 'context', 'of', 'career', 'guidance', 'which', 'plays', 'a', 'crucial', 'role', 'in', 'supporting', 'nonlinear', 'career', 'pathways', 'for', 'individuals.', 'We', 'review', 'the', 'ethical', 'challenges', 'of', 'big', 'data', 'AI', 'and', 'LA', 'in', 'connection', 'to', 'career', 'guidance', 'and', 'analyze', 'the', 'user', 'experiences', 'N', '=', '106', 'of', 'the', 'LA', 'career', 'guidance', 'tool', 'which', 'recommends', 'study', 'programs', 'and', 'institutions', 'to', 'users.', 'Results', 'indicate', 'that', 'the', 'LA', 'career', 'guidance', 'tool', 'was', 'evaluated', 'as', 'trustworthy', 'but', 'not', 'transparent.', 'Accuracy', 'was', 'found', 'to', 'be', 'a', 'stronger', 'predictor', 'for', 'the', 'intention', 'to', 'follow', 'on', 'the', 'recommendations', 'of', 'the', 'LA', 'guidance', 'tool', 'than', 'was', 'understanding', 'the', 'origins', 'of', 'the', 'recommendation.', 'The', 'users', 'age', 'emerged', 'as', 'an', 'important', 'factor', 'in', 'their', 'assessment', 'of', 'transparency.', 'We', 'discuss', 'the', 'implications', 'of', 'these', 'findings', 'and', 'suggest', 'emphasizing', 'accuracy', 'in', 'the', 'development', 'of', 'LA', 'tools', 'for', 'career', 'guidance.']","['artificial intelligence', ' ai', ' learning analytics', ' career guidance', ' transparency', ' trustworthiness']"
11,"Trust, trustworthiness and AI governance",3,2024,Article,Scientific Reports,"['An', 'emerging', 'issue', 'in', 'AI', 'alignment', 'is', 'the', 'use', 'of', 'artificial', 'intelligence', 'AI', 'by', 'public', 'authorities', 'and', 'specifically', 'the', 'integration', 'of', 'algorithmic', 'decision-making', 'ADM', 'into', 'core', 'state', 'functions.', 'In', 'this', 'context', 'the', 'alignment', 'of', 'AI', 'with', 'the', 'values', 'related', 'to', 'the', 'notions', 'of', 'trust', 'and', 'trustworthiness', 'constitutes', 'a', 'particularly', 'sensitive', 'problem', 'from', 'a', 'theoretical', 'empirical', 'and', 'normative', 'perspective.', 'In', 'this', 'paper', 'we', 'offer', 'an', 'interdisciplinary', 'overview', 'of', 'the', 'scholarship', 'on', 'trust', 'in', 'sociology', 'political', 'science', 'and', 'computer', 'science', 'anchored', 'in', 'artificial', 'intelligence.', 'On', 'this', 'basis', 'we', 'argue', 'that', 'only', 'a', 'coherent', 'and', 'comprehensive', 'interdisciplinary', 'approach', 'making', 'sense', 'of', 'the', 'different', 'properties', 'attributed', 'to', 'trust', 'and', 'trustworthiness', 'can', 'convey', 'a', 'proper', 'understanding', 'of', 'complex', 'watchful', 'trust', 'dynamics', 'in', 'a', 'socio-technical', 'context.', 'Ensuring', 'the', 'trustworthiness', 'of', 'AI-Governance', 'ultimately', 'requires', 'an', 'understanding', 'of', 'how', 'to', 'combine', 'trust-related', 'values', 'while', 'addressing', 'machines', 'humans', 'and', 'institutions', 'at', 'the', 'same', 'time.', 'We', 'offer', 'a', 'road-map', 'of', 'the', 'steps', 'that', 'could', 'be', 'taken', 'to', 'address', 'the', 'challenges', 'identified.']",[]
12,Trustworthy AI: From Principles to PracticesTrustworthy AI: From Principles to Practices,8,2023,Article,ACM Computing Surveys,"['The', 'rapid', 'development', 'of', 'Artificial', 'Intelligence', 'AI', 'technology', 'has', 'enabled', 'the', 'deployment', 'of', 'various', 'systems', 'based', 'on', 'it.', 'However', 'many', 'current', 'AI', 'systems', 'are', 'found', 'vulnerable', 'to', 'imperceptible', 'attacks', 'biased', 'against', 'underrepresented', 'groups', 'lacking', 'in', 'user', 'privacy', 'protection.', 'These', 'shortcomings', 'degrade', 'user', 'experience', 'and', 'erode', 'people’s', 'trust', 'in', 'all', 'AI', 'systems.', 'In', 'this', 'review', 'we', 'provide', 'AI', 'practitioners', 'with', 'a', 'comprehensive', 'guide', 'for', 'building', 'trustworthy', 'AI', 'systems.', 'We', 'first', 'introduce', 'the', 'theoretical', 'framework', 'of', 'important', 'aspects', 'of', 'AI', 'trustworthiness', 'including', 'robustness', 'generalization', 'explainability', 'transparency', 'reproducibility', 'fairness', 'privacy', 'preservation', 'and', 'accountability.', 'To', 'unify', 'currently', 'available', 'but', 'fragmented', 'approaches', 'toward', 'trustworthy', 'AI', 'we', 'organize', 'them', 'in', 'a', 'systematic', 'approach', 'that', 'considers', 'the', 'entire', 'lifecycle', 'of', 'AI', 'systems', 'ranging', 'from', 'data', 'acquisition', 'to', 'model', 'development', 'to', 'system', 'development', 'and', 'deployment', 'finally', 'to', 'continuous', 'monitoring', 'and', 'governance.', 'In', 'this', 'framework', 'we', 'offer', 'concrete', 'action', 'items', 'for', 'practitioners', 'and', 'societal', 'stakeholders', 'e.g.', 'researchers', 'engineers', 'and', 'regulators', 'to', 'improve', 'AI', 'trustworthiness.', 'Finally', 'we', 'identify', 'key', 'opportunities', 'and', 'challenges', 'for', 'the', 'future', 'development', 'of', 'trustworthy', 'AI', 'systems', 'where', 'we', 'identify', 'the', 'need', 'for', 'a', 'paradigm', 'shift', 'toward', 'comprehensively', 'trustworthy', 'AI', 'systems.']","['accountability', ' privacy protection', ' fairness', ' reproducibility', ' transparency', ' explainability', ' generalization', ' robustness', ' trustworthy ai']"
22,Towards evaluating ethical accountability and trustworthiness in AI systems,4,2021,Article,Journal of Computing Sciences in Colleges,"['Intelligent', 'systems', 'also', 'referred', 'to', 'as', 'Artificial', 'Intelligence', 'are', 'rapidly', 'expanding', 'with', 'direct', 'consequences', 'and', 'impacts.', 'Given', 'that', 'the', 'media', 'focuses', 'more', 'on', 'reporting', 'disasters', 'involving', 'these', 'systems', 'and', 'due', 'to', 'both', 'the', 'complexity', 'and', 'often', 'black-box', 'nature', 'of', 'these', 'systems', 'there', 'is', 'a', 'need', 'for', 'the', 'non-technical', 'audience', 'to', 'understand', 'the', 'impacts', 'given', 'the', 'speed', 'of', 'their', 'adoption.', 'This', 'paper', 'proposes', 'a', 'process', 'for', 'describing', 'and', 'rating', 'ethical', 'accountability', 'of', 'intelligent', 'systems', 'in', 'order', 'to', 'allow', 'non-experts', 'to', 'contrast', 'and', 'evaluate', 'the', 'trustworthiness', 'of', 'an', 'intelligent', 'system.', 'The', 'output', 'of', 'the', 'application', 'of', 'this', 'framework', 'enables', 'domain', 'experts', 'to', 'assess', 'components', 'of', 'these', 'systems', 'in', 'a', 'public', 'sphere', 'akin', 'to', 'peer', 'review', 'allowing', 'for', 'discussion', 'and', 'discovery', 'of', 'trust', 'issues.', 'Secondly', 'this', 'output', 'is', 'designed', 'to', 'be', 'understood', 'by', 'the', 'general', 'public', 'motivating', 'creators', 'of', 'intelligent', 'systems', 'to', 'improve', 'the', 'quality', 'of', 'their', 'systems.', 'Similar', 'methods', 'are', 'utilized', 'with', 'positive', 'effect', 'in', 'domains', 'such', 'as', 'public', 'health', 'grades', 'charity', 'rankings', 'the', 'equality', 'index', 'and', 'many', 'more.', 'This', 'process', 'helps', 'to', 'answer', 'the', 'need', 'for', 'accountability', 'in', 'the', 'deployment', 'of', 'intelligent', 'systems', 'by', 'both', 'public', 'and', 'private', 'entities.', 'Finally', 'we', 'report', 'on', 'a', 'survey', 'of', 'Junior', 'Computer', 'Science', 'students', 'about', 'how', 'they', 'would', 'rank', 'various', 'components', 'of', 'a', 'trust', 'evaluation.', 'This', 'preliminary', 'survey', 'helps', 'support', 'our', 'call', 'to', 'action', 'for', 'transparency', 'in', 'intelligent', 'systems', 'and', 'supports', 'the', 'design', 'of', 'our', 'proposed', 'framework.']",[]
23,"Bridging the Gap Between Ethics and Practice: Guidelines for Reliable, Safe, and Trustworthy Human-centered AI Systems",1,2020,Article,ACM Transactions on Interactive Intelligent Systems,"['This', 'article', 'attempts', 'to', 'bridge', 'the', 'gap', 'between', 'widely', 'discussed', 'ethical', 'principles', 'of', 'Human-centered', 'AI', 'HCAI', 'and', 'practical', 'steps', 'for', 'effective', 'governance.', 'Since', 'HCAI', 'systems', 'are', 'developed', 'and', 'implemented', 'in', 'multiple', 'organizational', 'structures', 'I', 'propose', '15', 'recommendations', 'at', 'three', 'levels', 'of', 'governance:', 'team', 'organization', 'and', 'industry.', 'The', 'recommendations', 'are', 'intended', 'to', 'increase', 'the', 'reliability', 'safety', 'and', 'trustworthiness', 'of', 'HCAI', 'systems:', '1', 'reliable', 'systems', 'based', 'on', 'sound', 'software', 'engineering', 'practices', '2', 'safety', 'culture', 'through', 'business', 'management', 'strategies', 'and', '3', 'trustworthy', 'certification', 'by', 'independent', 'oversight.', 'Software', 'engineering', 'practices', 'within', 'teams', 'include', 'audit', 'trails', 'to', 'enable', 'analysis', 'of', 'failures', 'software', 'engineering', 'workflows', 'verification', 'and', 'validation', 'testing', 'bias', 'testing', 'to', 'enhance', 'fairness', 'and', 'explainable', 'user', 'interfaces.', 'The', 'safety', 'culture', 'within', 'organizations', 'comes', 'from', 'management', 'strategies', 'that', 'include', 'leadership', 'commitment', 'to', 'safety', 'hiring', 'and', 'training', 'oriented', 'to', 'safety', 'extensive', 'reporting', 'of', 'failures', 'and', 'near', 'misses', 'internal', 'review', 'boards', 'for', 'problems', 'and', 'future', 'plans', 'and', 'alignment', 'with', 'industry', 'standard', 'practices.', 'The', 'trustworthiness', 'certification', 'comes', 'from', 'industry-wide', 'efforts', 'that', 'include', 'government', 'interventions', 'and', 'regulation', 'accounting', 'firms', 'conducting', 'external', 'audits', 'insurance', 'companies', 'compensating', 'for', 'failures', 'non-governmental', 'and', 'civil', 'society', 'organizations', 'advancing', 'design', 'principles', 'and', 'professional', 'organizations', 'and', 'research', 'institutes', 'developing', 'standards', 'policies', 'and', 'novel', 'ideas.', 'The', 'larger', 'goal', 'of', 'effective', 'governance', 'is', 'to', 'limit', 'the', 'dangers', 'and', 'increase', 'the', 'benefits', 'of', 'HCAI', 'to', 'individuals', 'organizations', 'and', 'society.']","['artificial intelligence', ' human-computer interaction', ' human-centered ai', ' design', ' independent oversight', ' management strategies', ' reliable', ' safe', ' software engineering practices', ' trustworthy']"
24,Trustworthiness of Artificial Intelligence: Teaching Factors that Influence AI-Supported Decision Making,2,2023,Article,Journal of Computing Sciences in Colleges,"['Reports', 'of', 'progress', 'in', 'research', 'into', 'Artificial', 'Intelligence', 'AI', 'and', 'its', 'applications', 'are', 'accumulating', 'very', 'rapidly.', 'Specifically', 'Machine', 'Learning', 'ML', 'applications', 'based', 'on', 'large', 'data', 'sets', 'have', 'moved', 'to', 'the', 'forefront', 'of', 'innovations', 'in', 'the', 'field.', 'New', 'ML', 'models', 'have', 'led', 'to', 'the', 'adoption', 'of', 'AI', 'in', 'different', 'disciplines.', 'The', 'development', 'of', 'the', 'most', 'recent', 'large', 'language', 'models', 'has', 'created', 'so', 'much', 'interest', 'that', 'it', 'might', 'mean', 'a', 'revolution', 'in', 'using', 'of', 'AI.', 'Some', 'make', 'a', 'stronger', 'claim', 'that', 'it', 'is', 'a', 'turning', 'point', 'in', 'human', 'civilizations', 'history', 'and', 'we', 'have', 'started', 'the', 'AI', 'age', 'after', 'replacing', 'the', 'obsolete', 'in', 'many', 'aspects', 'of', 'Information', 'Age', 'applications.', 'One', 'of', 'the', 'immediate', 'challenges', 'is', 'how', 'to', 'use', 'AI', 'and', 'ML', 'responsibly', 'with', 'proper', 'protection', 'for', 'humans', 'and', 'human', 'society.', 'In', 'this', 'paper', 'we', 'report', 'on', 'our', 'efforts', 'in', 'introducing', 'trustworthiness', 'of', 'ML', 'in', 'college', 'curricula', 'and', 'what', 'factors', 'influence', 'AI-supported', 'decision', 'making.', 'The', 'main', 'goal', 'is', 'to', 'allow', 'students', 'to', 'gain', 'an', 'understanding', 'not', 'only', 'of', 'concepts', 'but', 'also', 'of', 'the', 'limitations', 'of', 'AI.', 'This', 'will', 'help', 'in', 'their', 'participation', 'in', 'our', 'society', 'of', 'the', 'AI', 'Age.', 'The', 'process', 'of', 'AI', 'democratization', 'needs', 'to', 'be', 'established', 'to', 'control', 'the', 'growth', 'of', 'ML', 'use', 'and', 'understand', 'the', 'human', 'dangers', 'of', 'various', 'types', 'of', 'data-driven', 'modeling', 'approaches', 'in', 'AI.']",[]
26,"A Systematic Review on Fostering Appropriate Trust in Human-AI Interaction: Trends, Opportunities and Challenges",5,2024,Article,ACM Journal on Responsible Computing,"['Appropriate', 'trust', 'in', 'Artificial', 'Intelligence', 'AI', 'systems', 'has', 'rapidly', 'become', 'an', 'important', 'area', 'of', 'focus', 'for', 'both', 'researchers', 'and', 'practitioners.', 'Various', 'approaches', 'have', 'been', 'used', 'to', 'achieve', 'it', 'such', 'as', 'confidence', 'scores', 'explanations', 'trustworthiness', 'cues', 'and', 'uncertainty', 'communication.', 'However', 'a', 'comprehensive', 'understanding', 'of', 'the', 'field', 'is', 'lacking', 'due', 'to', 'the', 'diversity', 'of', 'perspectives', 'arising', 'from', 'various', 'backgrounds', 'that', 'influence', 'it', 'and', 'the', 'lack', 'of', 'a', 'single', 'definition', 'for', 'appropriate', 'trust.', 'To', 'investigate', 'this', 'topic', 'this', 'article', 'presents', 'a', 'systematic', 'review', 'to', 'identify', 'current', 'practices', 'in', 'building', 'appropriate', 'trust', 'different', 'ways', 'to', 'measure', 'it', 'types', 'of', 'tasks', 'used', 'and', 'potential', 'challenges', 'associated', 'with', 'it.', 'We', 'also', 'propose', 'a', 'Belief', 'Intentions', 'and', 'Actions', 'mapping', 'to', 'study', 'commonalities', 'and', 'differences', 'in', 'the', 'concepts', 'related', 'to', 'appropriate', 'trust', 'by', 'a', 'describing', 'the', 'existing', 'disagreements', 'on', 'defining', 'appropriate', 'trust', 'and', 'b', 'providing', 'an', 'overview', 'of', 'the', 'concepts', 'and', 'definitions', 'related', 'to', 'appropriate', 'trust', 'in', 'AI', 'from', 'the', 'existing', 'literature.', 'Finally', 'the', 'challenges', 'identified', 'in', 'studying', 'appropriate', 'trust', 'are', 'discussed', 'and', 'observations', 'are', 'summarized', 'as', 'current', 'trends', 'potential', 'gaps', 'and', 'research', 'opportunities', 'for', 'future', 'work.', 'Overall', 'the', 'article', 'provides', 'insights', 'into', 'the', 'complex', 'concept', 'of', 'appropriate', 'trust', 'in', 'human-AI', 'interaction', 'and', 'presents', 'research', 'opportunities', 'to', 'advance', 'our', 'understanding', 'on', 'this', 'topic.']","['appropriate trust', ' systematic review', ' trust calibration', ' warranted trust', ' appropriate reliance', ' justified trust', ' trustworthiness', ' artificial intelligence']"
28,"""Something Fast and Cheap"" or ""A Core Element of Building Trust""? - AI Auditing Professionals' Perspectives on Trust in AI",2,2024,Article,Proceedings of the ACM on Human-Computer Interaction,"['Artificial', 'Intelligence', 'AI', 'auditing', 'is', 'a', 'relatively', 'new', 'area', 'of', 'work.', 'Currently', 'there', 'is', 'a', 'lack', 'of', 'uniform', 'standards', 'and', 'regulation.', 'As', 'a', 'result', 'the', 'AI', 'auditing', 'ecosystem', 'is', 'very', 'diverse', 'and', 'AI', 'auditing', 'professionals', 'use', 'a', 'variety', 'of', 'different', 'auditing', 'methods.', 'So', 'far', 'little', 'is', 'known', 'about', 'how', 'AI', 'auditors', 'approach', 'the', 'concept', 'of', 'trust', 'in', 'AI', 'through', 'AI', 'audits', 'in', 'particular', 'regarding', 'the', 'trust', 'of', 'users.', 'This', 'paper', 'reports', 'findings', 'from', 'interviews', 'with', '19', 'AI', 'auditing', 'stakeholders', 'to', 'understand', 'how', 'AI', 'auditing', 'professionals', 'seek', 'to', 'create', 'calibrated', 'trust', 'in', 'AI', 'tools', 'and', 'AI', 'audits.', 'Themes', 'identified', 'included', 'the', 'AI', 'auditing', 'ecosystem', 'participants', 'experiences', 'with', 'AI', 'auditing', 'and', 'trust', 'in', 'AI', 'audits', 'and', 'AI.', 'The', 'paper', 'adds', 'to', 'the', 'existing', 'research', 'on', 'trust', 'in', 'AI', 'and', 'trustworthiness', 'in', 'AI', 'by', 'adding', 'perspectives', 'of', 'key', 'stakeholders', 'regarding', 'trust', 'in', 'AI', 'Audits', 'by', 'users', 'as', 'an', 'essential', 'and', 'currently', 'less', 'explored', 'part', 'of', 'the', 'trust', 'in', 'AI', 'research.', 'This', 'paper', 'shows', 'how', 'information', 'asymmetry', 'in', 'respect', 'to', 'AI', 'audits', 'can', 'decrease', 'the', 'value', 'of', 'audits', 'for', 'users', 'and', 'consequently', 'their', 'trust', 'in', 'AI', 'systems.', 'Study', 'participants', 'suggest', 'key', 'elements', 'for', 'rebuilding', 'trust', 'and', 'suggest', 'recommendations', 'for', 'the', 'AI', 'auditing', 'industry', 'such', 'as', 'monitoring', 'of', 'auditors', 'and', 'effective', 'communication', 'about', 'AI', 'audits.']","['ai auditing', ' ai auditors', ' ai users', ' qualitative field research', ' trust in ai-based systems']"
30,Being Trustworthy is Not Enough: How Untrustworthy Artificial Intelligence (AI) Can Deceive the End-Users and Gain Their Trust,4,2023,Article,Proceedings of the ACM on Human-Computer Interaction,"['Trustworthy', 'Artificial', 'Intelligence', 'AI', 'is', 'characterized', 'among', 'other', 'things', 'by:', '1', 'competence', '2', 'transparency', 'and', '3', 'fairness.', 'However', 'end-users', 'may', 'fail', 'to', 'recognize', 'incompetent', 'AI', 'allowing', 'untrustworthy', 'AI', 'to', 'exaggerate', 'its', 'competence', 'under', 'the', 'guise', 'of', 'transparency', 'to', 'gain', 'unfair', 'advantage', 'over', 'other', 'trustworthy', 'AI.', 'Here', 'we', 'conducted', 'an', 'experiment', 'with', '120', 'participants', 'to', 'test', 'if', 'untrustworthy', 'AI', 'can', 'deceive', 'end-users', 'to', 'gain', 'their', 'trust.', 'Participants', 'interacted', 'with', 'two', 'AI-based', 'chess', 'engines', 'trustworthy', 'competent', 'fair', 'and', 'untrustworthy', 'incompetent', 'unfair', 'that', 'coached', 'participants', 'by', 'suggesting', 'chess', 'moves', 'in', 'three', 'games', 'against', 'another', 'engine', 'opponent.', 'We', 'varied', 'coaches', 'transparency', 'about', 'their', 'competence', 'with', 'the', 'untrustworthy', 'one', 'always', 'exaggerating', 'its', 'competence.', 'We', 'quantified', 'and', 'objectively', 'measured', 'participants', 'trust', 'based', 'on', 'how', 'often', 'participants', 'relied', 'on', 'coaches', 'move', 'recommendations.', 'Participants', 'showed', 'inability', 'to', 'assess', 'AI', 'competence', 'by', 'misplacing', 'their', 'trust', 'with', 'the', 'untrustworthy', 'AI', 'confirming', 'its', 'ability', 'to', 'deceive.', 'Our', 'work', 'calls', 'for', 'design', 'of', 'interactions', 'to', 'help', 'end-users', 'assess', 'AI', 'trustworthiness.']","['xai', ' explainability', ' explainable ai', ' fairness', ' transparency', ' trustworthiness', ' trustworthy ai']"
40,Certification Labels for Trustworthy AI: Insights From an Empirical Mixed-Method Study,5,2023,Book,"Proceedings of the 2023 ACM Conference on Fairness, Accountability, and Transparency","['Auditing', 'plays', 'a', 'pivotal', 'role', 'in', 'the', 'development', 'of', 'trustworthy', 'AI.', 'However', 'current', 'research', 'primarily', 'focuses', 'on', 'creating', 'auditable', 'AI', 'documentation', 'which', 'is', 'intended', 'for', 'regulators', 'and', 'experts', 'rather', 'than', 'end-users', 'affected', 'by', 'AI', 'decisions.', 'How', 'to', 'communicate', 'to', 'members', 'of', 'the', 'public', 'that', 'an', 'AI', 'has', 'been', 'audited', 'and', 'considered', 'trustworthy', 'remains', 'an', 'open', 'challenge.', 'This', 'study', 'empirically', 'investigated', 'certification', 'labels', 'as', 'a', 'promising', 'solution.', 'Through', 'interviews', 'N', '=', '12', 'and', 'a', 'census-representative', 'survey', 'N', '=', '302', 'we', 'investigated', 'end-users’', 'attitudes', 'toward', 'certification', 'labels', 'and', 'their', 'effectiveness', 'in', 'communicating', 'trustworthiness', 'in', 'low-', 'and', 'high-stakes', 'AI', 'scenarios.', 'Based', 'on', 'the', 'survey', 'results', 'we', 'demonstrate', 'that', 'labels', 'can', 'significantly', 'increase', 'end-users’', 'trust', 'and', 'willingness', 'to', 'use', 'AI', 'in', 'both', 'low-', 'and', 'high-stakes', 'scenarios.', 'However', 'end-users’', 'preferences', 'for', 'certification', 'labels', 'and', 'their', 'effect', 'on', 'trust', 'and', 'willingness', 'to', 'use', 'AI', 'were', 'more', 'pronounced', 'in', 'high-stake', 'scenarios.', 'Qualitative', 'content', 'analysis', 'of', 'the', 'interviews', 'revealed', 'opportunities', 'and', 'limitations', 'of', 'certification', 'labels', 'as', 'well', 'as', 'facilitators', 'and', 'inhibitors', 'for', 'the', 'effective', 'use', 'of', 'labels', 'in', 'the', 'context', 'of', 'AI.', 'For', 'example', 'while', 'certification', 'labels', 'can', 'mitigate', 'data-related', 'concerns', 'expressed', 'by', 'end-users', 'e.g.', 'privacy', 'and', 'data', 'protection', 'other', 'concerns', 'e.g.', 'model', 'performance', 'are', 'more', 'challenging', 'to', 'address.', 'Our', 'study', 'provides', 'valuable', 'insights', 'and', 'recommendations', 'for', 'designing', 'and', 'implementing', 'certification', 'labels', 'as', 'a', 'promising', 'constituent', 'within', 'the', 'trustworthy', 'AI', 'ecosystem.']","['ai', ' audit', ' certification', ' documentation', ' label', ' seal', ' trust', ' trustworthy', ' user study']"
